# sampling_caveat: Purposive sampling subject to availability constraints. Results describe the beliefs of the surveyed sample, not of software engineering practitioners in general, and no inference to a wider population is supported (Baltes & Ralph, 2022, Empirical Software Engineering).
# question_order_caveat: BTHSurvey provides no question-order randomisation, so all 50 claims were presented in a fixed order to every respondent. Order effects (fatigue, priming, anchoring) cannot be estimated or corrected for by this tool and stand as a documented construct-validity limitation.
# classification_rule: majority > 50% of directional answers; IDK-dominant at >= 30% of the full sample
# run_id: 20260904T170248Z-d602c796
# input_file: data/raw/export (4).xlsx
# input_sha256: d602c796f3cbfb3f5322be5551f12e280f71dbd1880fbd430253c4518e4ddd95
q_number,claim_id,claim_type,book,survey_text,bucket,full_sample_n,directional_denominator,idk_n,idk_rate_pct,pct_agree,pct_disagree,pct_neutral,majority_direction,belief_label,bucket_reason,freq_1,freq_2,freq_3,freq_4,freq_5,bimodal,evidence_label,evidence_strength,verdict_status,belief_evidence_mismatch,mismatch_kind,in_matrix,experience_group_1_n,experience_group_2_n,experience_group_1_median,experience_group_2_median,mannwhitney_u,mannwhitney_p_raw,mannwhitney_p_corrected,significant_after_correction,effect_size,effect_magnitude,experience_not_tested_reason,role_breakdown,n_comments
39,CLM-000007,CAUSAL,Client-Centered Software Development; The CO-FOSS Approach,The rise of platform as a service (PaaS) hosting may reduce or eliminate the need for a professional developer to be involved in deployment.,clear_direction,751,694,57,7.59,14.27,72.77,12.97,disagreed,Majority disagreed,"72.8% of the 694 directional answers disagreed, above the 50% threshold",190,315,90,88,11,False,SUPPORTED,,mismatch,True,"a majority disagreed, but the evidence supports the claim",True,140,554,2.0,2.0,38257.5,0.7930999072598826,0.9264610060862619,False,,,,"Developer: n=324, 13% agree, 77% disagree | Tech lead: n=142, 18% agree, 68% disagree | Architect: n=68, 13% agree, 68% disagree | Other: n=56, 14% agree, 71% disagree | Engineering manager: n=40, 20% agree, 62% disagree | Researcher: n=31, 6% agree, 77% disagree | Consultant: n=32, 12% agree, 75% disagree | (not recorded): n=1, 0% agree, 100% disagree",82
40,CLM-000486,CAUSAL,Software Development Patterns and Antipatterns,"As software quality improves, cost per defect rises sharply.",mixed,751,564,187,24.9,31.91,38.48,29.61,none,,"neither side passed 50%: 31.9% agreed, 38.5% disagreed, 29.6% neutral (neutral counts toward the denominator but toward neither side)",49,168,167,164,16,False,,,excluded,False,,False,112,452,3.0,3.0,27929.0,0.07762059276677026,0.22829586107873603,False,,,,,100
41,CLM-000109,NORMATIVE,"Secure, Resilient, and Agile Software Development",Product owners and Scrum masters should plan for and allocate time and budget to ensure security and resilience constraints are included in design work.,clear_direction,751,696,55,7.32,93.68,3.02,3.3,agreed,Majority agreed,"93.7% of the 696 directional answers agreed, above the 50% threshold",10,11,23,374,278,False,SUPPORTED,,match,False,,True,140,556,4.0,4.0,39643.5,0.7004311122309623,0.8987983960341087,False,,,,"Developer: n=323, 94% agree, 3% disagree | Tech lead: n=144, 93% agree, 3% disagree | Architect: n=71, 93% agree, 3% disagree | Other: n=53, 98% agree, 2% disagree | Engineering manager: n=40, 88% agree, 5% disagree | Researcher: n=32, 94% agree, 3% disagree | Consultant: n=31, 94% agree, 6% disagree | (not recorded): n=2, 100% agree, 0% disagree",71
42,CLM-000190,NORMATIVE,A Guide to Selecting Software Measures and Metrics,Defects should be prevented from occurring in the first place.,clear_direction,751,710,41,5.46,72.96,12.54,14.51,agreed,Majority agreed,"73.0% of the 710 directional answers agreed, above the 50% threshold",25,64,103,363,155,False,SUPPORTED,,match,False,,True,148,562,4.0,4.0,45236.5,0.07504922984922782,0.22829586107873603,False,,,,"Developer: n=332, 74% agree, 13% disagree | Tech lead: n=138, 73% agree, 12% disagree | Architect: n=72, 76% agree, 10% disagree | Other: n=58, 67% agree, 16% disagree | Engineering manager: n=42, 67% agree, 19% disagree | Researcher: n=36, 75% agree, 8% disagree | Consultant: n=31, 68% agree, 13% disagree | (not recorded): n=1, 100% agree, 0% disagree",163
43,CLM-000374,QUANTITATIVE,A Guide to Selecting Software Measures and Metrics,Defect removal efficiency ranges from as high as 99.65 percent to as low as under 77 percent.,idk_dominant,751,266,485,64.58,,,,,,"64.6% of the full sample answered ""I don't know"", at or above the 30% dominance threshold; no majority is computed and the claim is excluded from the belief-evidence matrix",17,38,127,71,13,False,,,excluded,False,,False,60,206,3.0,3.0,6514.0,0.4950797822520633,0.7985157778259085,False,,,,,117
44,CLM-000122,NORMATIVE,Software Testing 2020,"Teams should select only the metrics most relevant to their own product and market, rather than industry-wide standard metrics, and automate them to make adoption easier under time constraints.",mixed,751,612,139,18.51,49.51,23.69,26.8,none,,"neither side passed 50%: 49.5% agreed, 23.7% disagreed, 26.8% neutral (neutral counts toward the denominator but toward neither side)",13,132,164,248,55,False,,,excluded,False,,False,120,492,4.0,3.0,30815.0,0.43291106897030984,0.7434023547573592,False,,,,,89
45,CLM-000097,NORMATIVE,Effective Methods for Software Engineering,Teams should ask for help resolving difficult problems and respond to issues quickly.,clear_direction,751,714,37,4.93,93.0,1.26,5.74,agreed,Majority agreed,"93.0% of the 714 directional answers agreed, above the 50% threshold",2,7,41,422,242,False,SUPPORTED,,match,False,,True,149,565,4.0,4.0,40459.5,0.4013530914052198,0.7167019489378924,False,,,,"Developer: n=334, 93% agree, 1% disagree | Tech lead: n=141, 94% agree, 1% disagree | Architect: n=71, 96% agree, 0% disagree | Other: n=57, 89% agree, 2% disagree | Engineering manager: n=41, 98% agree, 2% disagree | Researcher: n=36, 89% agree, 0% disagree | Consultant: n=33, 91% agree, 3% disagree | (not recorded): n=1, 100% agree, 0% disagree",53
46,CLM-000201,NORMATIVE,Software Quality Assurance,Defects should be resolved before exiting the current development phase or releasing to production.,clear_direction,751,727,24,3.2,59.97,16.92,23.11,agreed,Majority agreed,"60.0% of the 727 directional answers agreed, above the 50% threshold",12,111,168,332,104,False,NO EVIDENCE FOUND,,not_scored,False,,True,148,579,4.0,4.0,50050.0,0.0007891030078938534,0.019727575197346334,True,0.1681,small,,"Developer: n=343, 64% agree, 16% disagree | Tech lead: n=144, 58% agree, 17% disagree | Architect: n=73, 59% agree, 18% disagree | Other: n=58, 60% agree, 12% disagree | Engineering manager: n=41, 41% agree, 27% disagree | Researcher: n=34, 62% agree, 9% disagree | Consultant: n=33, 48% agree, 30% disagree | (not recorded): n=1, 100% agree, 0% disagree",176
47,CLM-000180,NORMATIVE,Software Durability Concepts and Practices,"Security, privacy, and durability solutions must be continually developed to remain effective.",clear_direction,751,719,32,4.26,92.07,2.64,5.29,agreed,Majority agreed,"92.1% of the 719 directional answers agreed, above the 50% threshold",4,15,38,387,275,False,SUPPORTED,,match,False,,True,150,569,4.0,4.0,43674.0,0.6191382352224546,0.8987983960341087,False,,,,"Developer: n=334, 92% agree, 2% disagree | Tech lead: n=143, 96% agree, 3% disagree | Architect: n=72, 94% agree, 3% disagree | Other: n=59, 90% agree, 2% disagree | Engineering manager: n=42, 93% agree, 0% disagree | Researcher: n=35, 86% agree, 9% disagree | Consultant: n=33, 85% agree, 6% disagree | (not recorded): n=1, 100% agree, 0% disagree",42
48,CLM-000502,NORMATIVE,Software Durability Concepts and Practices,Testers should ensure that code changes do not introduce new flaws into existing functionality.,clear_direction,751,736,15,2.0,90.9,3.8,5.3,agreed,Majority agreed,"90.9% of the 736 directional answers agreed, above the 50% threshold",6,22,39,360,309,False,SUPPORTED,,match,False,,True,152,584,5.0,4.0,50246.5,0.005244738815328485,0.05213536517243653,False,,,,"Developer: n=345, 94% agree, 2% disagree | Tech lead: n=147, 86% agree, 7% disagree | Architect: n=72, 92% agree, 3% disagree | Other: n=60, 88% agree, 7% disagree | Engineering manager: n=42, 81% agree, 12% disagree | Researcher: n=37, 92% agree, 0% disagree | Consultant: n=32, 97% agree, 0% disagree | (not recorded): n=1, 100% agree, 0% disagree",104
49,CLM-000129,CAUSAL,Client-Centered Software Development; The CO-FOSS Approach,A dedicated discussion forum allows team members to discuss project-related questions and suggestions separately from personal email.,clear_direction,751,686,65,8.66,84.11,3.21,12.68,agreed,Majority agreed,"84.1% of the 686 directional answers agreed, above the 50% threshold",3,19,87,396,181,False,SUPPORTED,,match,False,,True,142,544,4.0,4.0,41683.0,0.10117240453519558,0.26624316982946206,False,,,,"Developer: n=322, 85% agree, 2% disagree | Tech lead: n=138, 83% agree, 4% disagree | Architect: n=67, 85% agree, 4% disagree | Other: n=56, 79% agree, 4% disagree | Engineering manager: n=38, 87% agree, 3% disagree | Researcher: n=32, 88% agree, 6% disagree | Consultant: n=32, 75% agree, 6% disagree | (not recorded): n=1, 100% agree, 0% disagree",82
50,CLM-000032,CAUSAL,"Secure, Resilient, and Agile Software Development",Security awareness enables smoother engagement in software security education and sustained involvement in application security activities throughout the year.,clear_direction,751,617,134,17.84,85.09,3.89,11.02,agreed,Majority agreed,"85.1% of the 617 directional answers agreed, above the 50% threshold",8,16,68,411,114,False,SUPPORTED,,match,False,,True,123,494,4.0,4.0,33100.5,0.06556297361971217,0.22829586107873603,False,,,,"Developer: n=283, 82% agree, 5% disagree | Tech lead: n=129, 88% agree, 3% disagree | Architect: n=63, 87% agree, 3% disagree | Other: n=50, 92% agree, 2% disagree | Engineering manager: n=37, 89% agree, 0% disagree | Researcher: n=25, 92% agree, 0% disagree | Consultant: n=29, 76% agree, 14% disagree | (not recorded): n=1, 100% agree, 0% disagree",43
